muestra,grupo,ensamblaje,esquema,ST,acsA,aroE,guaA,mutL,nuoD,ppsA,trpE
PA14,Control,Control,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
PAO1,Control,Control,paeruginosa,ST-549,acsA(7),aroE(5),guaA(12),mutL(3),nuoD(4),ppsA(1),trpE(7)
Blood_P11,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(152?),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(231?),trpE(3)
Blood_P11,Muestra,Sin pulido,paeruginosa,No determinado,acsA(283?),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(~231),trpE(3)
Rectal_1_P12,Muestra,Pulido con Medaka,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Rectal_1_P12,Muestra,Sin pulido,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Rectal_2_P12,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(235?),trpE(433)
Rectal_2_P12,Muestra,Sin pulido,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(235),trpE(433)
Rectal_P2,Muestra,Pulido con Medaka,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Rectal_P2,Muestra,Sin pulido,paeruginosa,ST-5147,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(433)
Rectal_P3,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(~4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Rectal_P3,Muestra,Sin pulido,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Rectal_P9,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(~6),trpE(~433)
Rectal_P9,Muestra,Sin pulido,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(~6),trpE(433)
Sputum_P3,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(287?),trpE(~3)
Sputum_P3,Muestra,Sin pulido,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(287?),trpE(3)
Tracheal_discharge_P2,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(~4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Tracheal_discharge_P2,Muestra,Sin pulido,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Tracheal_discharge_P9,Muestra,Pulido con Medaka,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Tracheal_discharge_P9,Muestra,Sin pulido,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Urine_2_P12,Muestra,Pulido con Medaka,paeruginosa,ST-253,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(1),ppsA(6),trpE(3)
Urine_2_P12,Muestra,Sin pulido,paeruginosa,ST-5150,acsA(4),aroE(4),guaA(292),mutL(12),nuoD(1),ppsA(6),trpE(433)
Wound_2_P12,Muestra,Pulido con Medaka,paeruginosa,No determinado,acsA(4),aroE(4),guaA(16),mutL(12),nuoD(219?),ppsA(6),trpE(3)
Wound_2_P12,Muestra,Sin pulido,paeruginosa,No determinado,acsA(4),aroE(4),guaA(293),mutL(12),nuoD(219?),ppsA(6),trpE(3)
